Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,Niue,NIU,..,39.52381,40.28436,40.75829,40.75829,..,..,..,..,..,..
Control of Corruption: Percentile Rank,CC.PER.RNK,North Macedonia,MKD,32.48731,55.71429,55.92417,57.34597,57.34597,56.73077,50,46.63462,45.19231,42.30769,38.94231
Control of Corruption: Percentile Rank,CC.PER.RNK,Norway,NOR,96.4467,97.14286,97.63033,98.5782,99.05213,99.03846,99.03846,98.55769,99.51923,97.59615,97.11539
Control of Corruption: Percentile Rank,CC.PER.RNK,Oman,OMN,78.17259,66.19048,62.08531,63.03318,63.03318,65.38461,64.90385,66.34615,63.46154,62.5,67.30769
Control of Corruption: Percentile Rank,CC.PER.RNK,Pakistan,PAK,24.36548,13.80952,14.69194,14.21801,17.53555,22.11539,21.63461,17.30769,22.59615,23.55769,21.15385
Control of Corruption: Percentile Rank,CC.PER.RNK,Palau,PLW,..,37.61905,36.01896,41.23223,31.27962,37.98077,36.05769,39.42308,40.38462,33.65385,36.05769
Control of Corruption: Percentile Rank,CC.PER.RNK,Panama,PAN,45.17767,47.14286,48.34123,45.0237,45.49763,46.15385,44.23077,35.57692,35.09615,32.69231,30.76923
Control of Corruption: Percentile Rank,CC.PER.RNK,Papua New Guinea,PNG,25.38071,15.71429,16.11374,18.48341,17.06161,17.78846,16.34615,15.38461,16.82692,17.78846,16.82692
Control of Corruption: Percentile Rank,CC.PER.RNK,Paraguay,PRY,3.553299,25.71428,24.17062,20.37915,14.21801,15.38461,15.86539,26.92308,25,21.15385,22.11539
Control of Corruption: Percentile Rank,CC.PER.RNK,Peru,PER,41.62437,51.90476,52.1327,43.60189,41.23223,34.13462,34.61538,43.26923,38.94231,34.61538,36.53846
Control of Corruption: Percentile Rank,CC.PER.RNK,Philippines,PHL,35.53299,23.33333,27.96209,35.07109,43.60189,40.38462,39.90385,36.05769,39.42308,34.13462,31.25
Control of Corruption: Percentile Rank,CC.PER.RNK,Poland,POL,76.14214,71.90476,72.03792,72.98578,71.09005,72.59615,73.55769,75.96154,75.96154,74.51923,71.15385
Control of Corruption: Percentile Rank,CC.PER.RNK,Portugal,PRT,85.27919,82.85714,83.88625,80.56872,80.56872,79.80769,80.28846,80.28846,80.76923,80.28846,77.40385
Control of Corruption: Percentile Rank,CC.PER.RNK,Puerto Rico,PRI,82.23351,71.42857,70.14218,71.09005,70.14218,69.23077,60.57692,59.13462,60.09615,59.13462,58.17308
Control of Corruption: Percentile Rank,CC.PER.RNK,Qatar,QAT,72.58883,89.04762,80.09479,81.51659,81.99052,80.28846,78.36539,79.80769,76.44231,77.40385,79.32692
Control of Corruption: Percentile Rank,CC.PER.RNK,Reunion,REU,..,77.14286,75.82938,76.30331,76.77725,74.03846,72.59615,72.11539,73.07692,73.55769,72.59615
Control of Corruption: Percentile Rank,CC.PER.RNK,Romania,ROU,36.04061,52.38095,52.60664,48.81517,53.08057,53.84615,57.21154,57.21154,55.28846,52.40385,51.44231
Control of Corruption: Percentile Rank,CC.PER.RNK,Russian Federation,RUS,15.73604,13.33333,15.16588,14.69194,15.63981,17.30769,15.38461,19.71154,17.30769,20.67308,21.63461
Control of Corruption: Percentile Rank,CC.PER.RNK,Rwanda,RWA,31.9797,68.09524,68.24644,72.03792,72.51185,75.48077,73.07692,72.59615,71.63461,71.15385,70.67308
Control of Corruption: Percentile Rank,CC.PER.RNK,Samoa,WSM,59.89848,61.42857,60.66351,61.61137,62.55924,64.90385,65.38461,65.38461,74.03846,75,73.07692
Control of Corruption: Percentile Rank,CC.PER.RNK,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..
Control of Corruption: Percentile Rank,CC.PER.RNK,Sao Tome and Principe,STP,61.92893,49.52381,53.5545,53.08057,54.02843,57.69231,56.25,55.76923,60.57692,61.53846,61.05769
Control of Corruption: Percentile Rank,CC.PER.RNK,Saudi Arabia,SAU,50.76142,59.04762,48.81517,57.8199,59.24171,59.13462,58.65385,63.94231,65.86539,65.86539,62.98077
Control of Corruption: Percentile Rank,CC.PER.RNK,Senegal,SEN,55.83756,30.47619,38.38863,49.76303,53.5545,58.17308,59.13462,58.17308,54.32692,56.73077,59.13462
Control of Corruption: Percentile Rank,CC.PER.RNK,Serbia,SRB,7.614213,47.61905,50.23697,46.4455,46.91943,51.44231,49.03846,45.19231,43.26923,41.82692,37.01923
Control of Corruption: Percentile Rank,CC.PER.RNK,Seychelles,SYC,70.05076,70.47619,69.66824,69.66824,69.19431,68.26923,77.88461,76.92308,74.51923,75.96154,81.25
Control of Corruption: Percentile Rank,CC.PER.RNK,Sierra Leone,SLE,20.81218,22.38095,20.85308,18.00948,19.90521,15.86539,22.59615,20.19231,31.73077,37.01923,38.46154
Control of Corruption: Percentile Rank,CC.PER.RNK,Singapore,SGP,97.46193,98.57143,96.68246,97.15639,96.68246,96.15385,96.63461,97.11539,97.59615,99.03846,99.51923
Control of Corruption: Percentile Rank,CC.PER.RNK,Slovak Republic,SVK,62.94416,64.7619,64.92891,61.13744,60.66351,60.09615,62.5,63.46154,62.5,66.34615,64.42308
Control of Corruption: Percentile Rank,CC.PER.RNK,Slovenia,SVN,80.20305,79.52381,79.14692,76.77725,74.40759,74.51923,76.44231,77.40385,79.32692,80.76923,80.28846
Control of Corruption: Percentile Rank,CC.PER.RNK,Solomon Islands,SLB,43.65482,44.28571,45.49763,44.54976,42.65403,49.03846,46.15385,43.75,59.61538,57.69231,57.21154
Control of Corruption: Percentile Rank,CC.PER.RNK,Somalia,SOM,0,0,0,0,0.4739336,0.4807692,1.442308,0.9615384,0.4807692,0,0.9615384
