Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Haiti,HTI,..,6.51,..,..,..,..,4.4,..,..,4.47,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Honduras,HND,..,5.66,..,..,..,..,5.64,..,..,6.07,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Hungary,HUN,..,22.53,..,..,..,..,18.5,..,..,18.1,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Iceland,ISL,..,10.8,..,..,..,..,13.33,..,..,13.9,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,India,IND,..,3.69,..,..,..,..,8.99,..,..,8.99,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Indonesia,IDN,..,0.85,..,..,..,..,1.03,..,..,0.98,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,"Iran, Islamic Rep.",IRN,..,0.35,..,..,..,..,1.76,..,..,1.79,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Iraq,IRQ,..,0.78,..,..,..,..,0.63,..,..,0.67,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Ireland,IRL,..,22.73,..,..,..,..,19.03,..,..,19.62,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
